,emotion,talk
0,Panic,남자 친구 가 연락 이 안 돼다. 갑자기 내 연락 에 답 하다 않다 불안하다. 갑자기 아무렇다 말 도 없이 연락 을 안 하다. 무슨 일이 생기다 건 아니다 너무 걱정 돼다 불안하다. 남자 친구 동생 의 연락처 가 있다. 동생 에게 연락 하다 무슨 일이 생기다 건 아니다 확인 하다 보다.
1,Panic,출산 예정일 도 아니다 진통 이 오다 혼자 출산 하다 되어다 힘드다. 남편 은 일 하고 있다 바쁘다. 택시 타고 혼자 서 병원 까지 가다 남편 이 없다 아이 를 낳다 아주 무섭다. 그래서 부모님 께 연락 하다. 진통 이 심해지다 땐 부모님 이 함께 있다 조금 은 든든하다.
2,Panic,남자 친구 한테 다른 여자 가 생기다 헤어지다 돼다. 창피하다 어디 말 하다 수도 없다. 어리다 때 부터 친하다 지내다 친구 랑 바람 이 나다. 사귀다 때 부터 느낌 이 안 좋다 역시 나 이렇다 일이 생기다. 재수 가 없다 생각 하고 털다 버리다. 세상 에 좋다 남자 는 많다.
3,Panic,겨우 결혼 한 지다 일주일 밖에 안 돼다 남편 이 벌써 술 먹다 외박 을 하다. 어이 가 없다 헛웃음 만 나다. 친구 집 에서 술 말다 잠들다. 하다 번 도 신뢰 를 깨다 행동 을 하다 적 이 없다 믿다 되다 걸다 ? 앞 으로 남편 의 행동 을 지켜보다 하다 것 같다. 이번 일 하다 번 으로 판단 하다 아직 이르다 거 같다.
4,Panic,남자 친구 의 장애 때문 에 우리 의 결혼 을 응원 하다 사람 이 없다 당황 스럽다. 아무리 사이 가 좋다 깊다 사랑 하다 응원 받다 못 하다 사랑 을 하다 있다 사실 이 날 너무 괴롭다 해. 내 남자친구 의 장애 는 아무렇다 문제 가 되다 않다 걸 알다 하다 것 같다. 장애 는 단지 몸 이 조금 불편하다 뿐 이지.
5,Panic,결혼 을 모든 가족 이 반대 하다 아무 도 내 결혼식 에 참석 하다 않다 당황 스럽다. 아름답다 미래 를 꿈꾸다 약속 한 결혼 인데 응원 을 받다 못 하다 너무 힘들다. 내 선택 이 잘 못 되어다 때문 이다 ? 날 진심 으로 생각 하다 주다 사람 들 과 충분하다 대화 하다 보다 하다 생각 하다. 우선 부모님 과 더 이야기 를 나누다 보다.
6,Panic,출산 을 하다 날 에 남편 이 사고 로 죽다. 내 아이 의 생일 은 아이 아버지 의 기일 이 되어다 버리다. 남편 을 잃다 너무 슬프다 당장 아이 와 단둘 이 어떻다 살다 하다 걱정 이야. 슬픔 을 느끼다 못 하다 정도 로 내 가 사랑 을 많이 주다. 그리고 밝다 자라다 수 있다 노력 하다 거야.
7,Panic,남자 친구 가 다른 여자 랑 결혼 한 대. 드라마 에 나오다 법 한 일이 나 한테 일어나서 당황 스럽다. 심지어 나다 알 고 지내다 사람 이야. 이 시련 을 이기다 나다 보다 듯이 자다 살 고 싶다. 이미 일어나다 일 에 집착 하다 않다 나 에게 더 집중 하다. 연애 가 인생 의 전부 는 아니다.
8,Panic,결혼식 에 초대 하다 사람 이 없다 당황 스럽다. 텅 빈 결혼식장 에서 결혼 하고 싶다 않다. 회사 동료 들 도 많다 건 아니다 하객 이 얼마 없다 거 같다. 하객 아르바이트 라도 알아보다 하나 고민 이야.
9,Panic,남편 이랑 이혼 하다 하다 아이 들 이 다 내 가 아니다 아빠 를 따라가다 하다 씁쓸하다. 남편 이 다른 여자 가 생기다 이혼 하다 거 라서 아이 들 은 꼭 내 가 데려가다 싶다. 남편 의 바람 때문 에 이혼 하다 거 라고 아이 들 이 알 면 날 따라오다 거야.
10,Panic,나 사실 남자 친구 아이 를 가지다. 부모님 도 친구 들 도 모두 지우 라고 하다. 지우 라 하지만 난 아이 를 지우다 싶다 않다. 내 가 꼭 살인자 가 되다 것 같다 기분 이 들다. 우선 남자 친구 의 확신 이 필요하다 거 같다. 당사자 들 이 확신 이 없다 모두 지우 라고 하다 거 겠다.
